Feature,Importance,Std,Rank,Importance %
marital-status_ Married-civ-spouse,0.049519071310116056,0.00297582663431115,1,4.95
capital-gain,0.04874516307352126,0.001452022646495593,2,4.87
education-num,0.025627418463239328,0.0018865020616731121,3,2.56
age,0.015533443891652832,0.002133088046608592,4,1.55
capital-loss,0.015013819789939164,0.0009006262843301795,5,1.5
hours-per-week,0.005450525152017649,0.0016781937168774963,6,0.55
occupation_ Exec-managerial,0.004234383637368677,0.0011553741122734562,7,0.42
occupation_ Farming-fishing,0.0016583747927031323,0.00035309495683076054,8,0.17
occupation_ Tech-support,0.0015809839690436478,0.0002424733244827192,9,0.16
occupation_ Protective-serv,0.0015367606412382217,0.00010430051002828585,10,0.15
occupation_ Other-service,0.0014483139856273808,0.0011610729230700518,11,0.14
workclass_ Self-emp-not-inc,0.001359867330016562,0.00045597768109012537,12,0.14
relationship_ Wife,0.0012161415146489606,0.0004366703738669251,13,0.12
workclass_ Local-gov,0.0009729132117191619,0.00041011027066867914,14,0.1
occupation_ Handlers-cleaners,0.0008070757324488365,0.0004920776801385955,15,0.08
workclass_ Federal-gov,0.0007849640685461346,0.00028165260813393586,16,0.08
education_level_ HS-grad,0.0005749032614704053,0.0003272227437688923,17,0.06
occupation_ Prof-specialty,0.0005638474295190487,0.0006417146207156169,18,0.06
sex_ Female,0.0005417357656163357,0.0005266337363765399,19,0.05
workclass_ State-gov,0.0004532891100054837,0.00023426887894325657,20,0.05
workclass_ Private,0.00042012161415145856,0.0002653399668324933,21,0.04
sex_ Male,0.00042012161415143633,0.0006071655154337878,22,0.04
native-country_ United-States,0.0003758982863460325,0.000383623030909835,23,0.04
relationship_ Not-in-family,0.0002985074626865369,0.00036684709835349414,24,0.03
marital-status_ Divorced,0.0002653399668324896,0.00032497376355331736,25,0.03
native-country_ Mexico,0.0002653399668324785,0.0002625614612943559,26,0.03
race_ Asian-Pac-Islander,0.00023217247097842008,0.00021237559659810336,27,0.02
native-country_ Columbia,0.00021006080707570708,0.0001437258153675868,28,0.02
race_ Black,0.00019900497512433945,0.00012893204853166502,29,0.02
relationship_ Other-relative,0.00016583747927030324,0.0003175545962707517,30,0.02
occupation_ Transport-moving,0.00015478164731893562,0.00034326533325061784,31,0.02
native-country_ China,0.000132669983416267,6.633499170810575e-05,32,0.01
occupation_ Machine-op-inspct,0.00011055831951349848,0.00044223327805416047,33,0.01
native-country_ Italy,8.844665561082987e-05,9.638250842543167e-05,34,0.01
native-country_ Puerto-Rico,8.844665561082987e-05,0.00010832458785109067,35,0.01
education_level_ 10th,8.844665561081877e-05,0.00016248688177665147,36,0.01
relationship_ Unmarried,7.739082365947336e-05,8.634880791492366e-05,37,0.01
occupation_ Craft-repair,7.739082365946227e-05,0.00011110973599910409,38,0.01
marital-status_ Separated,5.527915975678255e-05,7.41647753731419e-05,39,0.01
native-country_ Greece,4.422332780542604e-05,5.41622939255646e-05,40,0.0
native-country_ Ireland,4.422332780542604e-05,7.333609265574463e-05,41,0.0
education_level_ Assoc-acdm,4.4223327805403834e-05,0.00013266998341623926,42,0.0
native-country_ England,3.3167495854058425e-05,8.634880791493644e-05,43,0.0
education_level_ Assoc-voc,3.3167495854058425e-05,7.07918655326859e-05,44,0.0
marital-status_ Widowed,3.316749585403622e-05,0.00024247332448271868,45,0.0
relationship_ Own-child,3.316749585402512e-05,0.0003734515368502987,46,0.0
education_level_ Some-college,2.211166390271302e-05,4.422332780542604e-05,47,0.0
occupation_ Priv-house-serv,2.211166390271302e-05,6.633499170813906e-05,48,0.0
native-country_ Iran,2.211166390271302e-05,4.422332780542604e-05,49,0.0
race_ Amer-Indian-Eskimo,2.2111663902690814e-05,0.00014667218531145076,50,0.0
workclass_ Without-pay,1.105583195135651e-05,3.3167495854069525e-05,51,0.0
native-country_ Trinadad&Tobago,1.105583195135651e-05,3.3167495854069525e-05,52,0.0
native-country_ Jamaica,1.105583195135651e-05,7.739082365949556e-05,53,0.0
native-country_ Guatemala,1.105583195135651e-05,3.316749585406953e-05,54,0.0
native-country_ Nicaragua,1.105583195135651e-05,3.3167495854069525e-05,55,0.0
marital-status_ Married-spouse-absent,1.105583195135651e-05,3.3167495854069525e-05,56,0.0
native-country_ Canada,1.1055831951345407e-05,0.00010430051002826349,57,0.0
marital-status_ Never-married,1.1055831951300999e-05,0.0006084726547625087,58,0.0
native-country_ Vietnam,0.0,4.944318358209461e-05,59,0.0
native-country_ Dominican-Republic,0.0,0.0,60,0.0
race_ Other,0.0,0.0,61,0.0
native-country_ El-Salvador,0.0,0.0,62,0.0
native-country_ Laos,0.0,0.0,63,0.0
education_level_ Doctorate,0.0,0.0,64,0.0
